TYPE,VALUE,OPTION_A,OPTION_B,OPTION_C,OPTION_D,OPTION_E,OPTION_F,OPTION_G,OPTION_H,CORRECT_ANSWER,CORRECT_BLANK_1,CORRECT_BLANK_2,CORRECT_BLANK_3
PASSAGE,"ಶಿಲೀಂಧ್ರಗಳು ಭೂಮಿಯ ಮೇಲಿನ ಅತ್ಯಂತ ವೈವಿಧ್ಯಮಯ ಮತ್ತು ಪರಿಸರಕ್ಕೆ ಮುಖ್ಯವಾದ ಜೀವಿಗಳ ಗುಂಪುಗಳಲ್ಲಿ ಸೇರಿವೆ, ಆದರೂ ಅವುಗಳಲ್ಲಿ ಕೆಲವೇ ತಿಳಿದಿವೆ. ಸಸ್ಯಗಳಂತೆ, ಶಿಲೀಂಧ್ರಗಳು ದ್ಯುತಿಸಂಶ್ಲೇಷಣೆ ಮಾಡುವುದಿಲ್ಲ, ಮತ್ತು ಪ್ರಾಣಿಗಳಂತೆ, ಅವು ಆಹಾರವನ್ನು ಹುಡುಕಿಕೊಂಡು ಚಲಿಸುವುದಿಲ್ಲ. ಬದಲಾಗಿ, ಅವು ಸಾವಯವ ವಸ್ತುವನ್ನು ಒಡೆಯಲು ತಮ್ಮ ಪರಿಸರಕ್ಕೆ ಕಿಣ್ವಗಳನ್ನು (enzymes) ಸ್ರವಿಸಿ, ಪೋಷಕಾಂಶಗಳನ್ನು ನೇರವಾಗಿ ಹೀರಿಕೊಳ್ಳುತ್ತವೆ. ಬದುಕುಳಿಯುವಿಕೆಯ ಈ ಅನನ್ಯ ವಿಧಾನವು ಶಿಲೀಂಧ್ರಗಳಿಗೆ ವ್ಯಾಪಕವಾದ ಪರಿಸರ ಗೂಡುಗಳನ್ನು ಆಕ್ರಮಿಸಲು ಅವಕಾಶ ನೀಡಿದೆ.

ಅನೇಕ ಶಿಲೀಂಧ್ರಗಳು ಅತ್ಯಗತ್ಯ ವಿಘಟಕಗಳಾಗಿವೆ (decomposers), ಪರಿಸರ ವ್ಯವಸ್ಥೆಗಳಿಗೆ ಪೋಷಕಾಂಶಗಳನ್ನು ಮರುಬಳಕೆ ಮಾಡುತ್ತವೆ. ಅವುಗಳಿಲ್ಲದೆ, ಕಾಡುಗಳು ಸತ್ತ ಮರ ಮತ್ತು ಸಸ್ಯಗಳ ಅವಶೇಷಗಳಿಂದ ತುಂಬಿಹೋಗುತ್ತವೆ. ಇತರ ಶಿಲೀಂಧ್ರಗಳು ಸಸ್ಯಗಳೊಂದಿಗೆ ಸಹಜೀವನದ ಸಂಬಂಧಗಳನ್ನು ರೂಪಿಸುತ್ತವೆ, ಕಾರ್ಬೋಹೈಡ್ರೇಟ್‌ಗಳ (carbohydrates) ಬದಲಾಗಿ ಅವು ಮಣ್ಣಿನಿಂದ ನೀರು ಮತ್ತು ಖನಿಜಗಳನ್ನು ಹೀರಿಕೊಳ್ಳಲು ಸಹಾಯ ಮಾಡುತ್ತವೆ. ಮೈಕೋರೈಜಾ (mycorrhizae) ಎಂದು ಕರೆಯಲ್ಪಡುವ ಈ ಸಂಬಂಧಗಳು ಎಷ್ಟು ನಿರ್ಣಾಯಕವಾಗಿವೆ ಎಂದರೆ ಅನೇಕ ಸಸ್ಯ ಪ್ರಭೇದಗಳು ಅವುಗಳಿಲ್ಲದೆ ಬದುಕಲು ಸಾಧ್ಯವಿಲ್ಲ.

ಆದಾಗ್ಯೂ, ಎಲ್ಲಾ ಶಿಲೀಂಧ್ರಗಳು ಪ್ರಯೋಜನಕಾರಿಯಲ್ಲ. ಕೆಲವು ರೋಗಕಾರಕಗಳಾಗಿವೆ (pathogens), ಸಸ್ಯಗಳು, ಪ್ರಾಣಿಗಳು ಮತ್ತು ಮನುಷ್ಯರಿಗೆ ಸೋಂಕು ತರುತ್ತವೆ. ಉದಾಹರಣೆಗೆ, 1840 ರ ಐರಿಷ್ ಆಲೂಗಡ್ಡೆ ಕ್ಷಾಮವು (Irish Potato Famine) ಒಂದು ಶಿಲೀಂಧ್ರದಂತಹ ಜೀವಿಯಿಂದ ಉಂಟಾಯಿತು, ಅದು ಆಲೂಗಡ್ಡೆ ಬೆಳೆಗಳನ್ನು ನಾಶಪಡಿಸಿ ಸಾಮೂಹಿಕ ಹಸಿವಿಗೆ ಕಾರಣವಾಯಿತು. ಇಂದು, ಶಿಲೀಂಧ್ರಗಳ ಸೋಂಕುಗಳು ಕೃಷಿಯಲ್ಲಿ ಗಮನಾರ್ಹ ನಷ್ಟವನ್ನುಂಟುಮಾಡುತ್ತವೆ ಮತ್ತು ವೈದ್ಯಕೀಯದಲ್ಲಿ ಸವಾಲುಗಳನ್ನು ಒಡ್ಡುತ್ತವೆ, ಅಲ್ಲಿ ಅವುಗಳಿಗೆ ಚಿಕಿತ್ಸೆ ನೀಡುವುದು ಕಷ್ಟಕರವಾಗಿರುತ್ತದೆ.

ತಮ್ಮ ಪ್ರಾಮುಖ್ಯತೆಯ ಹೊರತಾಗಿಯೂ, ಶಿಲೀಂಧ್ರಗಳ ಬಗ್ಗೆ ಕಡಿಮೆ ಸಂಶೋಧನೆ ಮಾಡಲಾಗಿದೆ. ವಿಜ್ಞಾನಿಗಳು 5 ಮಿಲಿಯನ್‌ಗಿಂತಲೂ ಹೆಚ್ಚು ಶಿಲೀಂಧ್ರ ಪ್ರಭೇದಗಳು ಇರಬಹುದು ಎಂದು ಅಂದಾಜಿಸಿದ್ದಾರೆ, ಆದರೆ ಸುಮಾರು 150,000 ಮಾತ್ರ ಔಪಚಾರಿಕವಾಗಿ ವಿವರಿಸಲಾಗಿದೆ. ಡಿಎನ್‌ಎ ಅನುಕ್ರಮಣಿಕೆಯ (DNA sequencing) ಹೊಸ ತಂತ್ರಗಳೊಂದಿಗೆ, ಸಂಶೋಧಕರು ಶಿಲೀಂಧ್ರಗಳ ಗುಪ್ತ ವೈವಿಧ್ಯತೆ ಮತ್ತು ಪರಿಸರ ವ್ಯವಸ್ಥೆಗಳಲ್ಲಿ ಅವುಗಳ ಪಾತ್ರಗಳನ್ನು ಅನಾವರಣಗೊಳಿಸಲು ಪ್ರಾರಂಭಿಸುತ್ತಿದ್ದಾರೆ. ಈ ಹೆಚ್ಚುತ್ತಿರುವ ತಿಳುವಳಿಕೆಯು ಹೊಸ ಪ್ರತಿಜೀವಕಗಳನ್ನು (antibiotics) ಅಭಿವೃದ್ಧಿಪಡಿಸುವುದರಿಂದ ಹಿಡಿದು ಪ್ಲಾಸ್ಟಿಕ್‌ಗಳಿಗೆ ಸುಸ್ಥಿರ ಪರ್ಯಾಯಗಳನ್ನು ರಚಿಸುವವರೆಗೆ ಪ್ರಮುಖ ಪರಿಣಾಮಗಳನ್ನು ಬೀರಬಹುದು."

,,,,,,,,,,,,

TRUE_FALSE_QUESTION,"ಶಿಲೀಂಧ್ರಗಳು ದ್ಯುತಿಸಂಶ್ಲೇಷಣೆಯ ಮೂಲಕ ತಮ್ಮದೇ ಆದ ಆಹಾರವನ್ನು ಉತ್ಪಾದಿಸುತ್ತವೆ.",,,,,,,,,FALSE,ತಪ್ಪು,, 
TRUE_FALSE_QUESTION,"ಕೆಲವು ಸಸ್ಯಗಳು ಬದುಕಲು ಶಿಲೀಂಧ್ರಗಳ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿವೆ.",,,,,,,,,TRUE,ಸರಿ,, 
TRUE_FALSE_QUESTION,"ಒಂದು ಪ್ರಮುಖ ಐತಿಹಾಸಿಕ ಕ್ಷಾಮದಲ್ಲಿ ಶಿಲೀಂಧ್ರಗಳು ಪಾತ್ರವಹಿಸಿವೆ.",,,,,,,,,TRUE,ಸರಿ,, 
TRUE_FALSE_QUESTION,"ಪ್ರತಿ ಶಿಲೀಂಧ್ರ ಪ್ರಭೇದವನ್ನು ಈಗಾಗಲೇ ವಿಜ್ಞಾನಿಗಳು ಕಂಡುಹಿಡಿದಿದ್ದಾರೆ.",,,,,,,,,FALSE,ತಪ್ಪು,, 
TRUE_FALSE_QUESTION,"ಆಧುನಿಕ ಕೃಷಿಯಲ್ಲಿ ಶಿಲೀಂಧ್ರಗಳ ಸೋಂಕುಗಳು ಎಂದಿಗೂ ಸಮಸ್ಯೆಯಲ್ಲ.",,,,,,,,,FALSE,ತಪ್ಪು,, 
TRUE_FALSE_QUESTION,"ಡಿಎನ್‌ಎ ಅನುಕ್ರಮಣಿಕೆ (DNA sequencing) ವಿಜ್ಞಾನಿಗಳಿಗೆ ಶಿಲೀಂಧ್ರಗಳ ಬಗ್ಗೆ ಇನ್ನಷ್ಟು ತಿಳಿದುಕೊಳ್ಳಲು ಸಹಾಯ ಮಾಡುತ್ತಿದೆ.",,,,,,,,,TRUE,ಸರಿ,,
