question,course_id
To a neighbour (semi‑formal) Your garden boundary fence has been damaged by recent storms. a) Describe the damage and when it happened. b) Explain how it is affecting you. c) Say what you would like your neighbour to do.,<course_id_placeholder>

To a friend (informal) You want your friend to come stay with you during your summer break. a)Explain why you think this holiday will be fun. b) Suggest what you could do together. c) Tell them what arrangements they need to make before coming.,<course_id_placeholder>

To your landlord (formal) The hot water system in your apartment has ceased working. a)Describe what is wrong and since when. b)Explain how this is affecting your daily routine. c)Ask what action you expect (repair / compensation / temporary replacement).,<course_id_placeholder>

To a company (customer service) (formal) A product you recently bought arrived with missing parts. a) Describe what is missing and what you have done so far. b) Explain how this is inconvenient. c) Request a remedy (replacement / refund / shipping of missing parts).,<course_id_placeholder>

To a course tutor / school administration (semi‑formal) The class timings of your course are changed unexpectedly, clashing with work. a) Explain the timing clash and impact on you. b) Propose alternative timing or solutions. c) Ask what the school can do to help.,<course_id_placeholder>

To a friend (informal) You found a new part‑time job and want advice. a) Tell them details about the job (what, where, hours). b) Describe what you think are advantages or disadvantages. c) Ask for their opinion or suggestions.,<course_id_placeholder>

To an accommodation officer (formal) Your room in university halls is too noisy at night. a) Describe the noise problem (source, time). b) Explain how it affects your study / sleep. c) Request what can be done (move rooms, soundproofing, enforce rules, etc.).,<course_id_placeholder>

To a friend (informal) You are organizing a surprise birthday party. a) Invite your friend and give the date/time. b) Ask for help in planning or bringing something. c) Tell what you have arranged already.,<course_id_placeholder>

To a hotel manager (formal) During a stay at their hotel, the service was poor. a) Describe what went wrong (details). b) Explain how it spoiled your holiday / experience. c) Say what you expect them to do to make amends.,<course_id_placeholder>

To a civic authority / local council (formal) A public park in your area is dirty and unsafe. a) Describe the condition and specific issues. b) Explain how it affects people in the neighbourhood. c) Ask what can be done to improve it.,<course_id_placeholder>

To an airline (formal) Your flight was delayed, and you missed a connection. a) Explain what happened. b) Describe the consequences (missed other transport, cost etc.). c) Ask for compensation or reimbursement.,<course_id_placeholder>

To a friend (informal) You moved to a new apartment and want your friend to visit. a) Tell them about your new place and neighbourhood. b) Suggest things to do in the area. c) Tell them when would be good for them to come.,<course_id_placeholder>

To a rentals agency (formal) The heating system in your house is not working properly. a) Describe the issue and its effects. b) Explain what steps you have already tried. c) Ask them to repair or compensate.,<course_id_placeholder>

To a restaurant manager (formal) You attended a dinner at their restaurant and were unhappy with the service or food. a) Describe what was unsatisfactory. b) Explain why it affected your experience. c) Say what you hope the manager will do about it.,<course_id_placeholder>

To a job employer / HR (semi‑formal) You are joining a new job but need to postpone the start date. a) Explain why you need the postponement. b) Say when you could start instead. c) Express your appreciation and apologize for any inconvenience.,<course_id_placeholder>

To a friend (informal) You're planning a camping trip and want your friend to join. a) Describe where and when the trip will be. b) Explain what the plan is (activities, gear you need). c) Ask them what they should bring and confirm if they can come.,<course_id_placeholder>

To a neighbour / homeowner association (semi‑formal) Noise late at night from nearby premises disturbing your sleep. a) Describe when and how the noise occurs. b) Explain how it is affecting you and possibly others. c) Request action to reduce or stop the disturbance.,<course_id_placeholder>

To a friend (informal) You have just returned from a trip and want to share your experience. a) Describe what you did and what you enjoyed. b) Talk about any problems you faced. c) Invite them to join you next time or plan future trip together.,<course_id_placeholder>

To a tourist information office (formal) You are planning a vacation abroad and need help making arrangements. a) Describe where you want to go and when. b) Ask for information about accommodation, transport options etc. c) Inquire about local customs, safety or visa advice.,<course_id_placeholder>

To a charity / organisation (formal or semi-formal) You want to volunteer for a local organisation and need more information. In your letter: a) explain your interest in volunteering, b) ask what sort of tasks you might do and how many hours per week, c)enquire about training, costs or any prerequisites.,<course_id_placeholder>
